Sales Order,Sales Above or Below Average,Sales (m),Sales,Draw Number,Draw Day,Draw Type,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Jackpot Winning Tickets,Total Winners (m),Total Winners,Number of Winners Above or Below Average
136,Below Average,38.409292,38409292,1195,Tuesday,Weekday (Tues),05-Mar-19,6  10  16  39  46  -  08  11,43.29416,43294160,0,No,No,0,1.469753,1469753,Below Average
137,Below Average,38.443084,38443084,941,Tuesday,Weekday (Tues),27-Sep-16,6  9  13  39  41  -  02  12,14.671,14671000,0,No,No,0,1.572657,1572657,Below Average
138,Below Average,38.486526,38486526,1091,Tuesday,Weekday (Tues),06-Mar-18,15  20  26  31  44  -  02  09,34.392263,34392263,0,No,No,0,1.498742,1498742,Below Average
139,Below Average,38.62368,38623680,1261,Tuesday,Weekday (Tues),22-Oct-19,2  5  32  33  47  -  07  08,41.922445,41922445,0,No,No,0,1.474623,1474623,Below Average
140,Below Average,38.638633,38638633,1181,Tuesday,Weekday (Tues),15-Jan-19,22  25  29  33  35  -  03  06,42.137452,42137452,0,No,No,0,1.497164,1497164,Below Average
141,Below Average,38.699238,38699238,1061,Tuesday,Weekday (Tues),21-Nov-17,2  10  14  28  31  -  05  07,54.215274,54215274,0,No,No,0,1.713051,1713051,Below Average
142,Below Average,38.737585,38737585,1320,Friday,Weekend (Fri),15-May-20,11  23  32  34  39  -  01  06,65.175962,65175962,1,Yes (1),Yes (Single Ticket),1,1.52658,1526580,Below Average
143,Below Average,38.815303,38815303,995,Tuesday,Weekday (Tues),04-Apr-17,1  9  24  33  34  -  02  06,58.513592,58513592,0,No,No,0,1.587281,1587281,Below Average
144,Below Average,38.854088,38854088,1157,Tuesday,Weekday (Tues),23-Oct-18,1  2  5  21  32  -  02  12,52.107396,52107396,0,No,No,0,1.559417,1559417,Below Average
145,Below Average,39.106662,39106662,947,Tuesday,Weekday (Tues),18-Oct-16,2  17  21  25  27  -  06  09,23.638239,23638239,0,No,No,0,1.727304,1727304,Below Average
146,Below Average,39.160784,39160784,987,Tuesday,Weekday (Tues),07-Mar-17,6  37  41  48  50  -  04  05,51.910688,51910688,0,No,No,0,1.337835,1337835,Below Average
