Sales Order,Sales Above or Below Average,Draw Sales (m),Draw Sales,Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Total Winners (ths),Total Winners,Number of Winners Above or Below Average
162,Below Average,13.890368,13890368,2403,Wednesday,Weekday (Wed),02-Jan-19,8  9  10  35  40  53  -  21,5.502058,5502058,0,No,No,70.745,70745,Below Average
163,Below Average,13.89354,13893540,2331,Wednesday,Weekday (Wed),25-Apr-18,5  14  18  40  41  50  -  12,10.50916,10509160,0,No,No,66.306,66306,Below Average
164,Below Average,13.94147,13941470,2481,Wednesday,Weekday (Wed),02-Oct-19,13  15  20  37  42  47  -  49,5.16487,5164870,0,No,No,71.862,71862,Below Average
165,Below Average,13.943534,13943534,2587,Wednesday,Weekday (Wed),07-Oct-20,12  18  37  52  56  58  -  53,5.39791,5397910,1,Yes (1),Yes (Single Ticket),51.571,51571,Below Average
166,Below Average,13.95193,13951930,2495,Wednesday,Weekday (Wed),20-Nov-19,8  17  31  47  49  52  -  12,8.602997,8602997,0,No,No,72.036,72036,Below Average
167,Below Average,14.005308,14005308,2283,Wednesday,Weekday (Wed),08-Nov-17,2  17  25  32  42  49  -  4,11.389307,11389307,0,No,No,90.658,90658,Below Average
168,Below Average,14.02625,14026250,2309,Wednesday,Weekday (Wed),07-Feb-18,5  19  29  34  40  45  -  57,11.404833,11404833,0,No,No,82.332,82332,Below Average
169,Below Average,14.041706,14041706,2539,Wednesday,Weekday (Wed),22-Apr-20,3  8  18  47  50  59  -  12,8.381216,8381216,0,No,No,64.707,64707,Below Average
170,Below Average,14.058028,14058028,2471,Wednesday,Weekday (Wed),28-Aug-19,1  40  41  49  52  57  -  43,8.736316,8736316,0,No,No,49.746,49746,Below Average
171,Below Average,14.092038,14092038,2371,Wednesday,Weekday (Wed),12-Sep-18,11  12  13  14  54  56  -  36,13.945461,13945461,0,No,No,60.736,60736,Below Average
172,Below Average,14.137848,14137848,2239,Wednesday,Weekday (Wed),07-Jun-17,6  8  12  36  37  41  -  50,10.140252,10140252,0,No,No,91.798,91798,Below Average
173,Below Average,14.162306,14162306,2271,Wednesday,Weekday (Wed),27-Sep-17,30  35  45  47  52  55  -  40,11.455122,11455122,0,No,No,50.077,50077,Below Average
174,Below Average,14.178908,14178908,2197,Wednesday,Weekday (Wed),11-Jan-17,21  26  29  35  46  59  -  10,7.291956,7291956,0,No,No,57.724,57724,Below Average
175,Below Average,14.181468,14181468,2383,Wednesday,Weekday (Wed),24-Oct-18,9  22  32  40  51  59  -  17,14.098451,14098451,0,No,No,53.577,53577,Below Average
176,Below Average,14.224374,14224374,2211,Wednesday,Weekday (Wed),01-Mar-17,2  7  21  22  47  53  -  42,7.199492,7199492,0,No,No,90.691,90691,Below Average
177,Below Average,14.228786,14228786,2205,Wednesday,Weekday (Wed),08-Feb-17,7  23  41  44  49  54  -  37,7.267133,7267133,1,Yes (1),Yes (Single Ticket),72.869,72869,Below Average
178,Below Average,14.268346,14268346,2489,Wednesday,Weekday (Wed),30-Oct-19,2  8  19  41  51  56  -  23,8.609036,8609036,0,No,No,64.102,64102,Below Average
179,Below Average,14.30004,14300040,2465,Wednesday,Weekday (Wed),07-Aug-19,7  11  36  44  52  58  -  31,8.607863,8607863,0,No,No,74.15,74150,Below Average
180,Below Average,14.330938,14330938,2373,Wednesday,Weekday (Wed),19-Sep-18,7  20  25  26  34  40  -  59,17.572057,17572057,0,No,No,86.516,86516,Below Average
181,Below Average,14.33773,14337730,2311,Wednesday,Weekday (Wed),14-Feb-18,2  8  33  46  48  50  -  5,15.575114,15575114,0,No,No,68.021,68021,Below Average
182,Below Average,14.350234,14350234,2347,Wednesday,Weekday (Wed),20-Jun-18,15  22  26  35  41  43  -  1,14.768674,14768674,0,No,No,75.167,75167,Below Average
